category,method,run_mode,representation_source,anomaly_head,aug_strength,backbone_name,layers,img_size,coreset_ratio,img_roc_auc,img_pr_auc,px_roc_auc,fit_sec,sec_per_img,n_eval_images,feature_dim,memory_bank_n,memory_bank_mb,checkpoint_size_mb,peak_gpu_mem_mb
screw,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.5109653617544578,0.7507511568393077,0.9176075574037243,4.218419075012207,0.017508064210414887,160.0,256.0,2822.0,2.755859375,42.71171855926514,322.041015625
screw,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.5775773724123795,0.8138404562983783,0.8682384716368788,4.510624885559082,0.015826448798179626,160.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
screw,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.564869850379176,0.7917251526958127,0.8605055381240828,4.531561374664307,0.016376425325870515,160.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
tile,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.8809523809523808,0.9562158918100605,0.8295718841604667,4.297552824020386,0.025284724357800607,117.0,256.0,2029.0,1.9814453125,42.7114782333374,322.041015625
tile,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.8189033189033189,0.9216980524548609,0.6503120402181625,4.185899972915649,0.02567380717676929,117.0,256.0,2029.0,1.9814453125,42.71171855926514,322.041015625
tile,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.7554112554112555,0.8566710990279722,0.8643542595659162,4.443379163742065,0.024838936634552784,117.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
tile,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.7676767676767677,0.9051842422008882,0.644314877111254,4.49219012260437,0.02414216750707382,117.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
toothbrush,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.6027777777777777,0.8387484759346887,0.9297443119749387,1.8262228965759277,0.038404623667399086,42.0,256.0,529.0,0.5166015625,42.7114782333374,315.916015625
toothbrush,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.425,0.6985059326489496,0.9185637450715428,1.8347444534301758,0.03686116422925677,42.0,256.0,529.0,0.5166015625,42.71171855926514,315.916015625
toothbrush,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.9916666666666666,0.9966641947843282,0.9587184522578531,2.0332889556884766,0.036617920512244814,42.0,100.0,196.0,7.55157470703125,42.7114782333374,315.916015625
